symbol,identifier,series,purpose,lastPrice,change,pChange,previousClose,finalQuantity,totalTurnover,marketCap,yearHigh,yearLow,iep
WELENT,WELENTEQN,EQ,,0,9.5,2.12,448.9,0,0,-,580.0,415.45,458.4
HESTERBIO,HESTERBIOEQN,EQ,,0,30.8,2.12,1452.2,0,0,-,2350.0,1242.95,1483.0
VHLTD,VHLTDBEN,BE,,0,3.11,2.12,146.69,0,0,-,155.36,93.05,149.8
ATAM,ATAMEQN,EQ,,0,1.2,2.12,56.5,0,0,-,128.0,55.9,57.7
SAMHI,SAMHIEQN,EQ,,0,3.11,2.12,146.74,0,0,-,254.5,121.1,149.85
GULFPETRO,GULFPETROEQN,EQ,,0,0.65,2.12,30.6,0,0,-,51.95,30.0,31.25
ANUHPHR,ANUHPHREQN,EQ,,0,1.65,2.11,78.14,0,0,-,114.9,69.27,79.79
VENUSREM,VENUSREMEQN,EQ,,0,15.95,2.11,756.05,0,0,-,839.95,277.95,772.0
ETERNAL,ETERNALEQN,EQ,,0,4.84,2.11,229.56,0,0,-,368.45,194.8,234.4
GMRAIRPORT,GMRAIRPORTEQN,EQ,,0,1.93,2.1,92.07,0,0,-,110.36,70.54,94.0
THANGAMAYL,THANGAMAYLEQN,EQ,,0,74.8,2.1,3570.2,0,0,-,4149.0,1606.0,3645.0
SYNCOMF,SYNCOMFEQN,EQ,,0,0.25,2.1,11.9,0,0,-,23.49,11.53,12.15
HILINFRA,HILINFRAEQN,EQ,,0,1.03,2.1,49.07,0,0,-,131.4,47.47,50.1
TVSSRICHAK,TVSSRICHAKEQN,EQ,,0,73.8,2.1,3508.2,0,0,-,4775.8,2431.8,3582.0
HPL,HPLEQN,EQ,,0,6.4,2.09,305.55,0,0,-,639.9,299.95,311.95
RAMRAT,RAMRATEQN,EQ,,0,7.1,2.09,339.9,0,0,-,392.98,241.03,347.0
JITFINFRA,JITFINFRABEN,BE,,0,7.05,2.09,337.85,0,0,-,478.0,222.35,344.9
ASHAPURMIN,ASHAPURMINEQN,EQ,,0,10.65,2.07,514.15,0,0,-,924.9,301.6,524.8
RADIOCITY,RADIOCITYEQN,EQ,,0,0.12,2.07,5.8,0,0,-,11.5,5.66,5.92
INA,INAEQN,EQ,,0,2.0,2.07,96.81,0,0,-,98.48,93.6,98.81
TFCILTD,TFCILTDEQN,EQ,,0,1.32,2.07,63.68,0,0,-,80.45,27.42,65.0
CUPID,CUPIDEQN,EQ,,0,1.9,2.07,91.6,0,0,-,105.39,11.15,93.5
GOYALALUM,GOYALALUMBEN,BE,,0,0.13,2.07,6.29,0,0,-,11.37,6.16,6.42
RACLGEAR,RACLGEAREQN,EQ,,0,27.8,2.06,1351.9,0,0,-,1691.9,658.05,1379.7
CALSOFT,CALSOFTEQN,EQ,,0,0.25,2.06,12.14,0,0,-,21.42,9.96,12.39
FABTECH,FABTECHEQN,EQ,,0,2.79,2.06,135.21,0,0,-,262.8,134.42,138.0
BORORENEW,BORORENEWEQN,EQ,,0,8.45,2.06,410.95,0,0,-,721.0,401.0,419.4
AVANTIFEED,AVANTIFEEDEQN,EQ,,0,23.9,2.05,1163.1,0,0,-,1489.0,601.55,1187.0
MGEL,MGELEQN,EQ,,0,0.2,2.04,9.78,0,0,-,18.4,9.53,9.98
DDEVPLSTIK,DDEVPLSTIKEQN,EQ,,0,5.3,2.04,259.9,0,0,-,360.0,219.87,265.2
AAKASH,AAKASHEQN,EQ,,0,0.23,2.04,11.28,0,0,-,13.79,7.06,11.51
ABCAPITAL,ABCAPITALEQN,EQ,,0,6.6,2.04,324.3,0,0,-,369.3,154.92,330.9
ARIS,ARISEQN,EQ,,0,2.15,2.04,105.65,0,0,-,208.5,82.18,107.8
NINSYS,NINSYSEQN,EQ,,0,5.95,2.03,293.5,0,0,-,528.95,282.35,299.45
BEML,BEMLEQN,EQ,,0,32.1,2.03,1577.9,0,0,-,2437.4,1215.0,1610.0
MOL,MOLEQN,EQ,,0,0.89,2.03,43.81,0,0,-,106.3,43.45,44.7
SAGILITY,SAGILITYEQN,EQ,,0,0.79,2.03,38.96,0,0,-,57.89,37.25,39.75
MINDTECK,MINDTECKEQN,EQ,,0,3.78,2.02,187.17,0,0,-,307.68,145.0,190.95
BSOFT,BSOFTEQN,EQ,,0,7.45,2.02,368.55,0,0,-,474.0,331.0,376.0
JIOFIN,JIOFINEQN,EQ,,0,4.7,2.02,232.25,0,0,-,338.6,203.1,236.95
GALAPREC,GALAPRECEQN,EQ,,0,14.35,2.01,715.05,0,0,-,980.0,671.2,729.4
PASUPTAC,PASUPTACEQN,EQ,,0,0.94,2.01,46.8,0,0,-,63.5,40.1,47.74
SBILIFE,SBILIFEEQN,EQ,,0,38.4,2.01,1912.5,0,0,-,2132.0,1382.65,1950.9
EICHERMOT,EICHERMOTEQN,EQ,,0,146.0,2.01,7266.0,0,0,-,8230.0,4912.05,7412.0
CHEMPLASTS,CHEMPLASTSEQN,EQ,,0,4.75,2.01,236.15,0,0,-,491.9,211.03,240.9
GHCL,GHCLEQN,EQ,,0,9.15,2.01,456.15,0,0,-,670.0,444.9,465.3
ARIHANTSUP,ARIHANTSUPEQN,EQ,,0,4.75,2.01,236.65,0,0,-,465.0,231.05,241.4
BLACKBUCK,BLACKBUCKEQN,EQ,,0,11.3,2.0,563.7,0,0,-,748.0,373.2,575.0
MODISONLTD,MODISONLTDEQN,EQ,,0,2.54,2.0,127.04,0,0,-,197.45,112.0,129.58
IKS,IKSEQN,EQ,,0,26.1,2.0,1305.2,0,0,-,1876.0,1236.8,1331.3
ULTRACEMCO,ULTRACEMCOEQN,EQ,,0,228.0,2.0,11378.0,0,0,-,13110.0,10356.25,11606.0
XCHANGING,XCHANGINGEQN,EQ,,0,1.21,2.0,60.63,0,0,-,104.5,60.1,61.84
DSSL,DSSLEQN,EQ,,0,17.85,2.0,891.35,0,0,-,1215.0,820.55,909.2
JSFB,JSFBEQN,EQ,,0,6.85,2.0,341.85,0,0,-,552.5,333.6,348.7
GOCOLORS,GOCOLORSEQN,EQ,,0,5.8,2.0,289.6,0,0,-,943.75,281.5,295.4
