Unnamed: 0,Symbol,PREV. CLOSE,IEP,Chng,%Chng,Final,Final Quantity,Value(₹ Crores),NM 52w H,NM 52w L,Unnamed: 11
,JAYKAY,143.31,142.88,-0.43,-0.3,142.88,365,0.01,219.70,134.40,
,PRAENG,22.57,22.5,-0.07,-0.31,22.5,8,0.00,33.88,17.12,
,WEWORK,450.35,448.95,-1.4,-0.31,448.95,821,0.04,664.00,421.00,
,VLSFINANCE,237.6,236.85,-0.75,-0.32,236.85,284,0.01,339.00,195.14,
,HARSHA,362.05,360.9,-1.15,-0.32,360.9,241,0.01,451.85,329.95,
,MINDTECK,195.26,194.61,-0.65,-0.33,194.61,364,0.01,307.68,145.00,
,COALINDIA,440.45,439.0,-1.45,-0.33,439.0,36467,1.60,461.55,356.00,
,PGINVIT,91.3,91.0,-0.3,-0.33,91.0,13774,0.13,98.19,74.96,
,MACPOWER,933.1,930.0,-3.1,-0.33,930.0,2,0.00,1090.00,601.20,
,URJA,8.9,8.87,-0.03,-0.34,8.87,4417,0.00,17.49,8.45,
,DIGIDRIVE,20.57,20.5,-0.07,-0.34,20.5,9,0.00,36.85,20.02,
,RKEC,41.14,41.0,-0.14,-0.34,41.0,24,0.00,89.99,38.56,
,STYLAMIND,2227.5,2220.0,-7.5,-0.34,2220.0,75,0.02,2430.00,1510.00,
,RAILTEL,290.9,289.9,-1.0,-0.34,289.9,15766,0.46,478.95,266.00,
,LPDC,5.91,5.89,-0.02,-0.34,5.89,14,0.00,10.16,5.52,
,ABDL,474.6,473.0,-1.6,-0.34,473.0,978,0.05,696.80,279.00,
,GANDHAR,134.45,133.99,-0.46,-0.34,133.99,1682,0.02,184.42,120.56,
,UNIVASTU,62.63,62.42,-0.21,-0.34,62.42,193,0.00,106.67,59.85,
,ATGL,482.65,481.0,-1.65,-0.34,481.0,4740,0.23,798.00,462.80,
,ATLANTAELE,918.2,915.1,-3.1,-0.34,915.1,994,0.09,1097.85,707.60,
,RUCHINFRA,5.71,5.69,-0.02,-0.35,5.69,172,0.00,10.89,5.25,
,SANDESH,973.4,970.0,-3.4,-0.35,970.0,1,0.00,1438.50,933.00,
,MANAKSIA,56.8,56.6,-0.2,-0.35,56.6,12,0.00,85.60,53.51,
,DAMODARIND,25.44,25.35,-0.09,-0.35,25.35,150,0.00,41.49,23.52,
,BLUSPRING,52.04,51.86,-0.18,-0.35,51.86,3586,0.02,100.88,47.51,
,WOCKPHARMA,1299.6,1294.9,-4.7,-0.36,1294.9,1205,0.16,1868.80,1154.40,
,SIL,14.07,14.02,-0.05,-0.36,14.02,730,0.00,23.05,13.00,
,TVTODAY,114.4,113.99,-0.41,-0.36,113.99,891,0.01,184.80,108.13,
,KRITI,82.29,81.99,-0.3,-0.36,81.99,1,0.00,177.51,72.00,
,PREMIERPOL,58.01,57.8,-0.21,-0.36,57.8,4124,0.02,71.00,38.00,
,VENTIVE,694.7,692.1,-2.6,-0.37,692.1,82,0.01,840.00,619.20,
,CENTUM,2855.6,2844.9,-10.7,-0.37,2844.9,350,0.10,3044.00,1145.00,
,GESHIP,1415.3,1410.0,-5.3,-0.37,1410.0,2088,0.29,1437.90,802.25,
,ZUARI,205.76,205.0,-0.76,-0.37,205.0,3088,0.06,393.55,173.35,
,HINDCON,19.08,19.01,-0.07,-0.37,19.01,48,0.00,40.24,18.55,
,CENTRALBK,37.12,36.98,-0.14,-0.38,36.98,68485,0.25,47.30,32.75,
,VMART,516.95,515.0,-1.95,-0.38,515.0,464,0.02,945.00,497.30,
,KANORICHEM,66.45,66.2,-0.25,-0.38,66.2,15,0.00,101.75,60.00,
,GUJALKALI,451.7,450.0,-1.7,-0.38,450.0,21,0.00,698.40,425.25,
,BORANA,390.5,389.0,-1.5,-0.38,389.0,58,0.00,420.00,211.00,
,AWHCL,476.8,475.0,-1.8,-0.38,475.0,159,0.01,693.00,408.05,
,SHALPAINTS,52.65,52.45,-0.2,-0.38,52.45,80,0.00,119.20,50.51,
,HEADSUP,7.81,7.78,-0.03,-0.38,7.78,300,0.00,13.20,7.00,
,CHEMPLASTS,219.84,218.99,-0.85,-0.39,218.99,166,0.00,491.90,211.03,
,BTML,7.61,7.58,-0.03,-0.39,7.58,2496,0.00,10.50,6.57,
,IFBIND,1079.2,1075.0,-4.2,-0.39,1075.0,153,0.02,2019.80,1024.50,
,TCI,979.0,975.1,-3.9,-0.4,975.1,166,0.02,1289.00,931.30,
,AAATECH,92.94,92.57,-0.37,-0.4,92.57,23,0.00,136.00,66.00,
,VISAKAIND,59.57,59.33,-0.24,-0.4,59.33,1974,0.01,98.10,55.05,
,NDL,2.45,2.44,-0.01,-0.41,2.44,22061,0.01,4.42,2.37,
,BALRAMCHIN,480.95,479.0,-1.95,-0.41,479.0,2573,0.12,627.80,393.55,
,HILTON,17.24,17.17,-0.07,-0.41,17.17,975,0.00,70.97,16.50,
,TCIFINANCE,14.13,14.07,-0.06,-0.42,14.07,89,0.00,38.46,10.00,
,ORIENTCEM,145.38,144.77,-0.61,-0.42,144.77,653,0.01,362.40,138.00,
,RITES,206.62,205.75,-0.87,-0.42,205.75,21114,0.43,316.00,195.94,
,MAWANASUG,78.43,78.1,-0.33,-0.42,78.1,177,0.00,111.50,76.10,
,FISCHER,35.55,35.4,-0.15,-0.42,35.4,39,0.00,124.70,33.94,
,BIRLANU,1444.1,1438.0,-6.1,-0.42,1438.0,151,0.02,2428.30,1380.00,
,NETWORK18,32.74,32.6,-0.14,-0.43,32.6,23740,0.08,65.29,31.22,
,CAPITALSFB,255.1,254.0,-1.1,-0.43,254.0,380,0.01,330.65,247.40,
,ITDC,482.05,480.0,-2.05,-0.43,480.0,610,0.03,712.80,460.00,
,SAMBHAAV,7.03,7.0,-0.03,-0.43,7.0,47,0.00,11.53,5.00,
,ZODIACLOTH,75.22,74.89,-0.33,-0.44,74.89,15,0.00,125.41,71.00,
,RPTECH,351.55,350.0,-1.55,-0.44,350.0,63,0.00,408.70,260.80,
,GRAPHITE,665.8,662.9,-2.9,-0.44,662.9,6500,0.43,747.00,393.00,
,INDIASHLTR,689.55,686.55,-3.0,-0.44,686.55,890,0.06,1011.75,650.00,
,TOTAL,59.85,59.58,-0.27,-0.45,59.58,238,0.00,93.50,56.06,
,ANMOL,11.0,10.95,-0.05,-0.45,10.95,612,0.00,19.70,10.23,
,3IINFOLTD,13.36,13.3,-0.06,-0.45,13.3,4608,0.01,25.90,12.68,
,EMBDL,57.33,57.07,-0.26,-0.45,57.07,151719,0.87,128.00,54.47,
,ONELIFECAP,15.3,15.23,-0.07,-0.46,15.23,50,0.00,17.70,8.82,
,TALBROAUTO,240.95,239.85,-1.1,-0.46,239.85,353,0.01,326.00,207.31,
,ASHIANA,307.0,305.6,-1.4,-0.46,305.6,161,0.00,376.15,247.80,
,BHAGCHEM,198.91,198.0,-0.91,-0.46,198.0,10,0.00,331.00,192.76,
,GLOBALE,10.95,10.9,-0.05,-0.46,10.9,44,0.00,22.83,10.10,
,KOPRAN,122.82,122.26,-0.56,-0.46,122.26,231,0.00,214.00,116.41,
,PRSMJOHNSN,125.49,124.9,-0.59,-0.47,124.9,612,0.01,176.00,114.72,
,PPAP,212.96,211.95,-1.01,-0.47,211.95,181,0.00,294.79,154.05,
,INOXINDIA,1180.6,1175.0,-5.6,-0.47,1175.0,378,0.04,1288.00,892.25,
